35443	899
24973	42406
14860	177
222505	177
63524	609
51957	435580
7860	68829
8952	12790
42283	15071
14506	25864
121273	20624
25624	77986
31594	23124
23264	908
58758	43480
7128	34618
93642	12052
47596	12042
59796	14197
60062	381
60486	13519
130096	13015
109481	13424
186359	11100
69593	17741
133092	15261
12246	12580
13173	17030
16474	163313
73976	13146
258400	49727
31594	14859
43734	741
10469	713
34461	26057
31106	73888
204573	210
230811	147002
47178	17835
44806	13621
159372	102278
57581	25656
139608	75509
17238	9209
224242	132346
32880	39242
27648	12118
241131	12118
34872	123741
210809	1492
180959	25708
188400	160446
51957	435580
80552	43357
9527	933
50620	27966
59122	30863
37005	21639
6528	9250
1106	35908
1834	886
51957	435580
39766	1289
24794	209
158442	52719
48083	26191
6998	10324
51939	26289
80487	13015
51946	70246
78151	31748
24436	8713
37459	15692
11418	6894
49161	7913
30955	23209
71476	170319
28102	17546
48997	6956
55316	24535
119448	17697
231211	407167
32738	7357
129977	17415
91070	22218
50503	22218
208163	174401
38272	480
264057	131078
43577	1376
210809	30518
59283	1492
74111	655
17374	25751
21501	9953
80552	29816
237785	813
86519	72714
258400	169196
11418	40177
183433	114
28102	14355
204573	210
16049	20969
1319	47569
53523	17830
29211	20445
118847	21817
34323	19897
2033	14327
429	9945
20423	11134
9409	68216
144261	2660
56697	33675
36242	184106
22938	11954
20423	49340
30476	985
109481	52135
76657	15960
39957	20497
2228	12903
50631	70970
38456	147002
32744	9707
98568	1394
2949	125941
22719	6995
130314	11907
54949	39242
82146	1651
8767	15071
78645	239
39836	15743
170632	39364
32640	4987
69788	349
45720	108408
11067	75007
49029	139117
53523	15071
224175	6232
25624	2538
133970	41096
45720	28788
26013	17698
202050	21817
9320	22366
158442	68216
34323	8164
27483	19393
47991	476
96231	11846
23442	13621
186359	15752
133970	15085
59283	16683
126257	19807
204208	13589
51957	435580
178972	6518
48083	59697
25948	28675
52563	19359
178972	51152
49522	116111
13693	1289
147677	24419
44739	10324
139307	24496
44226	638
111375	34618
54949	39242
17734	309
59283	31813
1193	12903
59959	5222
850	1031
82252	16020
51445	64971
68370	82441
181644	12575
5159	12741
149253	14102
139307	37586
29211	98639
49029	139117
86519	14334
43734	151325
71985	21657
38956	26199
2358	6856
51957	435580
37934	11362
149253	13101
11206	11734
1267	24124
17476	639
63432	751
62068	360
748	25753
24672	22218
11367	24355
2228	649
181644	57268
41751	751
116148	73254
238676	172
